,,,"VBT_125","SD_125","VBT_250","SD_250","VBT_500","SD_500","VBT_750","SD_750","VBT_1000","SD_1000","VBT_1500","SD_1500","VBT_2000","SD_2000"
"Eichenauer et al., B71","dB HL",,,,35,5,55,4,,,75,2,,,,
"Jansson et al., B71","dB HL",,13,6,39,7,62,7,70,5,72,3,81,5,87,4
,,,,,,,,,,,,,,,,
"ISO 8253-1 (2010)","dB HL",,,,40,,60,,,,70,,,,,
